date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum
1960-03-11,-0.002298754815789084,0.0009600014620030848,0.33650515701970446,0.004796084334648694,0.0,272.1074122578705,-0.0006641759529514072,0.004801748587673578
1960-03-12,-0.003726840949019384,0.0009526350032324079,0.3334658935413247,9.693305064696202e-05,0.0,269.66327668071517,-0.0012185910138590586,9.849185524707164e-05
1960-03-13,-0.0028236537731339785,0.0009446899683408941,0.3176278885296936,0.0,6.5111223308519395e-06,267.9928374851605,-0.001055071598350121,4.351138045421976e-07
1960-03-14,-0.00219816842983509,0.000936285884705279,0.30211306583966213,0.00026078770558039355,0.0,269.51151700951596,-0.0007196935352506897,0.0002620912781559129
1960-03-15,-0.0037411550925478764,0.0009782735643715697,0.2936014176459018,0.0006439001200038615,0.0024253744142640793,273.5107397383266,-0.0008873318448931911,0.0007866627042895791
1960-03-16,-0.001817580648928832,0.001128837906668339,0.29112286246664615,0.006352089100772721,0.00522267539207082,275.0511221496799,-0.0002459977173868855,0.01090216893080375
1960-03-17,-0.00419681257459722,0.0009127954152613047,0.2754228296473044,0.0004685500694808899,0.0,272.3400165023345,-0.001189083672986536,0.0004873859767069638
1960-03-18,-0.0032451845864552784,0.0009314651021424972,0.2657884953774973,4.599089252537695e-05,0.001191667120518356,270.0671313765536,-0.000952853443489482,4.83918684458122e-05
1960-03-19,-0.0015796274558468211,0.000989948440655112,0.25810067146021487,0.003046469759862803,0.002578111860919469,273.29619239155693,-0.00042012888840315586,0.004544927533195442
1960-03-20,-0.0038168442073126733,0.000909509696983939,0.25137036787595785,0.0003474730759712276,0.0006302245242646567,271.79239432173614,-0.0009606643251108224,0.0006236504750434922
1960-03-21,-0.0039227664323863145,0.000897773062850063,0.2384383979885058,8.5673724685005e-07,0.0006807808854505543,270.1675871904913,-0.0013112999783287498,2.0163626721275564e-06
1960-03-22,-0.005297270754875222,0.0009059469737051354,0.22300749446240428,9.597974947129175e-07,0.0013637189984272663,274.0308552539995,-0.0014640985237211238,4.117644279324452e-06
1960-03-23,-0.0037860209107007507,0.0009566737317490855,0.20602067885792968,1.3652057287532516e-07,0.0037922193135680824,269.55905198346227,-0.001156634747468192,2.283419027441577e-06
1960-03-24,-0.004405147544366777,0.0009324633331330149,0.1823675012614601,1.306108800061231e-06,0.002972417234248912,273.3523841496694,-0.0012541671187199397,1.1628229987203138e-05
1960-03-25,-0.002816688116450224,0.0008598755439514011,0.16594099306838397,1.754954286005305e-05,0.00026799570799656885,267.85862328853517,-0.0010925311738952434,1.9375233550676066e-05
1960-03-26,-0.00394090130460282,0.001098379003394805,0.1533241209333949,4.892932076759528e-05,0.008688508274495505,275.31407697329973,-0.001168526543919089,5.3299178043609775e-05
1960-03-27,-0.005704239451239264,0.003483267546874549,0.10893161817528738,0.0,0.016559597340294687,280.3892681474692,-0.0009383866792829167,2.9898592401877977e-06
1960-03-28,-0.004471009269919497,0.001899457892956601,0.03225910122040915,0.0,0.01229975234918994,287.912737290456,-0.000597017551107066,1.723644420883431e-05
1960-03-29,-0.004802617606858315,0.0009467878267291342,0.004555354042658732,0.0,0.0021381156675040433,290.123876539292,-0.0012020843947682478,0.0008780125571393421
1960-03-30,-0.001546537372083304,0.008241794697561094,0.0002721359511836344,0.0,0.00022303053041788554,285.1148807241673,-0.0012524603867569977,0.023215802676963496
1960-03-31,-0.004954819816771792,0.001239793200798223,-7.3453647229951e-24,0.0,3.247108610197046e-05,281.582990036679,-0.0016414044923431965,0.0008815280028297172
1960-04-01,-0.008806061017983067,0.0013642571438318015,-7.3453647229951e-24,0.0,9.923341434773165e-06,286.21934430248183,-0.0017688018292775884,1.1493542006296154e-05
1960-04-02,-0.011607820678912166,0.0014870135948575776,-7.3453647229951e-24,0.0,2.0432024460120744e-06,288.0912199568475,-0.002570484500311083,0.002333041354644087
1960-04-03,-0.005597818135138609,0.0014887135506459256,-7.3453647229951e-24,0.0,2.4648698288427396e-07,282.2591133336912,-0.0013834557928793343,0.0011184998920644573
1960-04-04,-0.0084878803645253,0.0014960107887515492,-7.3453647229951e-24,0.0,1.1797364317920604e-07,281.52680901275295,-0.0018088887208592523,0.0004431724351229643
1960-04-05,-0.008700536120505562,0.0015034382468569654,-7.3453647229951e-24,0.0,4.832478383883272e-08,280.5603503752877,-0.0016554728064728883,0.0007911312435474046
1960-04-06,-0.010381758359852684,0.0014909303247047764,-7.3453647229951e-24,0.0,2.6976240092310415e-08,283.38228734229915,-0.002138432928885537,1.72257422903499e-06
1960-04-07,-0.010794922550421438,0.00147972925151706,-7.3453647229951e-24,0.0,1.2325878409525054e-09,285.4040372459108,-0.0022169949184057164,8.688379150875895e-07
1960-04-08,-0.010326158077943893,0.0014663863749731156,-7.3453647229951e-24,0.0,0.0,283.78197267738017,-0.0020423925226349354,8.702277796146518e-07
1960-04-09,-0.009397237037105124,0.0014523671716696331,-7.3453647229951e-24,0.0,0.0,278.0165756196355,-0.0016366118283816947,1.7225738702109084e-06
1960-04-10,-0.006977978255752666,0.0014386659087414423,-7.3453647229951e-24,0.0,0.0,276.8855055541241,-0.0017405947921140053,1.275539318612573e-06
